38895ffa-121e-4431-9403-d1ac7db4508d|||UF Appraiser||
0e843b7e-8db0-4857-9446-283df55c7b45|||Expurgator||
23cce8a0-56e7-47dd-8158-fb522972c09b|||USE Censor||
5c30e238-7c66-4679-911d-fb56d054c4fa|||Eyewitness||
4d0a71da-067f-4542-9867-bc6adb112fd8|||USE Witness||
2710d439-8fa6-4780-a34e-dfcd2c0e8d06|A person or organization that executed the facsimile|fac|Facsimilist||
66ed68fd-5d4c-41b5-b774-098cb0257d61|||UF Copier||
791cbc7f-66e4-49ab-9320-eda904faaff7|A person or organization that manages or supervises the work done to collect raw data or do research in an actual setting or environment (typically applies to the natural and social sciences)|fld|Field director||
0f79c050-7008-4c12-8bc0-7ab5b3e4b89d|A director responsible for the general management and supervision of a filmed performance|fmd|Film director||
87c817d3-2057-4d12-9684-2139bca2c392|A person, family, or organization involved in distributing a moving image resource to theatres or other distribution channels|fds|Film distributor||
a10c1f8a-7934-4b11-b2cd-6d00a0dbab47|A person who, following the script and in creative cooperation with the Director, selects, arranges, and assembles the filmed material, controls the synchronization of picture and sound, and participates in other post-production tasks such as sound mixing and visual effects processing. Today, picture editing is often performed digitally.|flm|Film editor||
c83d6b98-5a4a-4a30-be23-47b6c10a3589|||UF Motion picture editor||
96e63f12-f977-4439-917d-6ae33785286f|A producer responsible for most of the business aspects of a film|fmp|Film producer||
ceef9404-7c77-402e-b04c-aca16bedbab9|A person, family or organization responsible for creating an independent or personal film. A filmmaker is individually responsible for the conception and execution of all aspects of the film|fmk|Filmmaker||
d6f2bbba-c401-4046-9c0d-b578b7f007dc|A person or organization who is identified as the only party or the party of the first party. In the case of transfer of rights, this is the assignor, transferor, licensor, grantor, etc. Multiple parties can be named jointly as the first party|fpy|First party||
bd5a958b-0e0e-4615-a443-37322d324041|A person or organization who makes or imitates something of value or importance, especially with the intent to defraud|frg|Forger||
c3b3c2d0-a930-4da4-ab7e-388cbafa8b41|||UF Copier||
e251032f-1f6c-41e7-a7c5-1d1f04fadc7d|||UF Counterfeiter||
a3101c0f-9f1c-4769-a96b-e15d8ee99387|A person, family, or organization formerly having legal possession of an item|fmo|Former owner||
5f4eb925-d556-4592-b3f1-fc957c49f18e|A person or organization that furnished financial support for the production of the work|fnd|Funder||
80c7ce62-e09d-4a59-975f-9881fe19d1f8|A person responsible for geographic information system (GIS) development and integration with global positioning system data|gis|Geographic information specialist||
fa5aee9f-416e-4a43-9fed-3cd0dc8628a4|||UF Geospatial information specialist||
73e03cc4-37a2-4421-b86a-5d1ddce6eb70|||Geospatial information specialist||
4579a6a7-3c97-4875-9cbe-8ee11ada7bf8|||USE Geographic information specialist||
79f2046f-4cc2-4202-8b33-b305fa5e6db8|||Graphic technician||
95551685-4473-4983-869c-6b3abc1eb16b|||USE Artist||
6331491f-3d8b-47b7-ac70-40a1d5856577|A person, family, or organization honored by a work or item (e.g., the honoree of a festschrift, a person to whom a copy is presented)|hnr|Honoree||
0f6f61d9-ae0d-4918-b730-41c9a2105cc3|||UF Honouree||
3fa2c821-918b-4ff5-abef-a05daf51802d|||UF Honouree of item||
3bc13c4b-80d4-47af-b9cb-22c240e65ee1|||Honouree||
fb7e0b58-d12f-4094-9533-f3cb3a4f395b|||USE Honoree||
8ceac6cf-c564-4a2b-b5bc-8bc13b5d3424|||Honouree of item||
75a9d274-ceac-4659-9a35-c2f7c009ab71|||USE Honoree||
2d350ed7-2119-4e02-bd66-d1e5a1443eae|A performer contributing to a resource by leading a program (often broadcast) that includes other guests, performers, etc. (e.g., talk show host)|hst|Host||
c6b9294f-6c84-480c-8352-d352f96dcaa1|An organization hosting the event, exhibit, conference, etc., which gave rise to a resource, but having little or no responsibility for the content of the resource|his|Host institution||
f5250df7-f433-4550-be38-f4165ad1c6a1|||Host, supporting||
28116d09-f5a8-430b-aa2a-0b8d01de5ee9|||USE Supporting host||
fc3a9094-c333-4516-ba45-6166a117110d|||House electrician||
2605af91-25a1-408a-b0bf-8904c9f5035f|||USE Electrician||
65d41fbd-e853-4fde-b7f2-dab119b165a9|A person providing decoration to a specific item using precious metals or color, often with elaborate designs and motifs|ilu|Illuminator||
ac387773-01c6-4171-8151-8a6435cb5850|A person, family, or organization contributing to a resource by supplementing the primary content with drawings, diagrams, photographs, etc. If the work is primarily the artistic content created by this entity, use artist or photographer|ill|Illustrator||
d3f0c261-c879-458a-8462-ade82b335e3c|||Imprimatur||
e3419758-7291-4080-9299-4fa27c050bf3|||USE Licensor||
9be7a2dd-6f80-48ce-9aef-625848d905c9|A person who has written a statement of dedication or gift|ins|Inscriber||
e51226a6-9055-4c14-ae1d-f328e240566f|||Instructor||
c8d91a35-d88d-436c-8cb7-86f2e13b1ea7|||USE Teacher||
e4d62461-dc0e-4c35-a107-f73b149a3db7|A performer contributing to a resource by playing a musical instrument|itr|Instrumentalist||
9a57fdd1-3d33-4697-b38b-98a785b610ae|A person, family or organization responsible for creating or contributing to a resource by responding to an interviewer, usually a reporter, pollster, or some other information gathering agent|ive|Interviewee||
9ba370cc-5558-405e-bd0b-5287d5ca5c47|A person, family, or organization responsible for creating or contributing to a resource by acting as an interviewer, reporter, pollster, or some other information gathering agent|ivr|Interviewer||
728c12a4-2a54-42b1-9c55-afa89e3b55ad|A person, family, or organization responsible for creating a new device or process|inv|Inventor||
4111f88e-03d2-47a9-8a5a-01df69af040d|||UF Patent inventor||
51fd7a25-f9c3-46d1-8eef-566883f5c698|A person, family or organization issuing a work, such as an official organ of the body|isb|Issuing body||
463c10ac-e03b-4849-aa28-1fdacd6e628f|||Joint author||
e9069bee-ee95-4b72-b43f-0e7695102a6a|||USE Author||
e9ae0222-bd80-44cb-8c71-fb24440cbacf|A person who hears and decides on legal matters in court.|jud|Judge||
061421b3-2be0-44a5-8a7d-35b8d78d9875|A jurisdiction governed by a law, regulation, etc., that was enacted by another jurisdiction|jug|Jurisdiction governed||
ae891d78-0381-4088-b747-740da8f2d913|||Lab director||
22f37325-7c8a-497a-99f9-a1a50cf145a2|||USE Laboratory director||
fbed1d3e-0cc5-48de-bb1f-26f0aebc94aa|An organization that provides scientific analyses of material samples|lbr|Laboratory||
f9fbd975-6816-4674-9438-6d2d9c68c299|A person or organization that manages or supervises work done in a controlled setting or environment|ldr|Laboratory director||
7790b7d5-c437-4751-971c-ce06487bca07|||UF Lab director||
974af2c2-5c35-4bbf-a2ae-f214675972a8|An architect responsible for creating landscape works. This work involves coordinating the arrangement of existing and proposed land features and structures|lsa|Landscape architect||
9f55ae5f-199b-4da9-b6f3-fb81e42d1515|A person or organization that takes primary responsibility for a particular activity or endeavor. May be combined with another relator term or code to show the greater importance this person or organization has regarding that particular role. If more than one relator is assigned to a heading, use the Lead relator only if it applies to all the relators|led|Lead||
b2651046-6af7-43bb-b230-2c468a11e93a|A person or organization permitting the temporary use of a book, manuscript, etc., such as for photocopying or microfilming|len|Lender||
a01696f0-eb4c-47a6-b13b-a5962fa978ba|A person or organization who files a libel in an ecclesiastical or admiralty case|lil|Libelant||
b2265ff2-2929-4311-b867-82dc7f573ea5|A libelant who takes an appeal from one ecclesiastical court or admiralty to another to reverse the judgment|lit|Libelant-appellant||
79d5e828-8fe2-4203-87fb-93fbb50d0dd0|A libelant against whom an appeal is taken from one ecclesiastical court or admiralty to another to reverse the judgment|lie|Libelant-appellee||
cf50e2f8-40ed-412e-9c61-0f1839b7d4c0|A person or organization against whom a libel has been filed in an ecclesiastical court or admiralty|lel|Libelee||
684cf927-9b0f-43b3-8d4b-4ddb99fdb94c|A libelee who takes an appeal from one ecclesiastical court or admiralty to another to reverse the judgment|let|Libelee-appellant||
e5682ca0-4472-4f49-a058-672b40f72c59|A libelee against whom an appeal is taken from one ecclesiastical court or admiralty to another to reverse the judgment|lee|Libelee-appellee||
f71a3985-c8b9-4f23-a8d9-48080bf69644|An author of a libretto of an opera or other stage work, or an oratorio|lbt|Librettist||
8c15cee7-9755-4afa-9804-3ccdc7ad2618|A person or organization who is an original recipient of the right to print or publish|lse|Licensee||
5b2e2186-bf48-426c-98e6-4030dc30c08d|A person or organization who is a signer of the license, imprimatur, etc|lso|Licensor||
6bc5daf1-e02e-4eea-8b59-46df86cb980c|||UF Imprimatur||
28cce1ac-68a2-48f8-b396-8b8b0d7bd3cd|A person or organization who designs the lighting scheme for a theatrical presentation, entertainment, motion picture, etc.|lgd|Lighting designer||
